"ID","Naive B cells","Memory B cells","Plasma cells","CD8 T cells","Naive CD4 T cells","Resting CD4 memory T cells","Activated CD4 memory T cells","Follicular helper T cells","Regulatory T cells","Gamma delta T cells","Resting NK cells","Activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","Resting dendritic cells","Activated dendritic cells","Resting mast cells","Activated mast cells","Eosinophils","Neutrophils"
"SEQC_NB073",0.103799871997294,0,0.000482297163920625,0.196866693715518,0,0.0281588396666696,0,0.0302256592976857,0.032304791269793,0,0.0386627524021968,0,0.0494923130829728,0.176546048987701,0.0466651975603702,0.296795534855879,0,0,0,0,0,0
"SEQC_NB074",0.0928295453335185,0,0.00750728919957844,0.0969881569846977,0,0.119294815520276,0,0.0139083426238994,0.0876937823893672,0,0.0254660479496971,0,0.0208068261307634,0.174327846749278,0.0599406850512101,0.301236662067715,0,0,0,0,0,0
"SEQC_NB075",0.077913519386919,0.0485379220590198,0,0.188346810195433,0,0.0817495091385841,0,0.0177718329943471,0.0790542349874173,0,0.0198135014171144,0,0.0329114583971734,0.265236777906746,0.0114970151219526,0.177167418395293,0,0,0,0,0,0
"SEQC_NB076",0.00310211751402265,0.00801284026203478,0.0111755645570425,0,0,0.221727133821796,0,0.04897641846203,0.0585711248335731,0,0.0734439866172208,0,0,0.456595565195666,0,0.0785126985452994,0.0138131296336665,0,0,0.0260694205576479,0,0
"SEQC_NB077",0.0211625556981584,0,0.00525430586429372,0.131363490943022,0,0.0670514834249721,0,0.104808448802709,0.0526641898342332,0,0.0773817957982661,0,0.0720976591232679,0.00076763144066904,0.0452470560686717,0.379876432625249,0,0,0.0423249503764877,0,0,0
"SEQC_NB078",0.00575811789746853,0.0151891762680034,0,0.0463028302171996,0,0.286371488980818,0,0.0201941560022184,0.0390259440304248,0,0.0701074862006199,0.011630984223971,0,0.326280427085573,0.0224188581084788,0.122849736308555,0,0,0.0338707946766693,0,0,0
"SEQC_NB079",0.038320683380434,0,0,0.140506451119121,0,0.0561909207195024,0,0.120300677433679,0.0239712845658583,0,0.00278113998282153,0.0208759223833218,0.0424731902937006,0,0.00906238405860026,0.474836257377963,0.0619213838822095,0.00622997389578347,0,0.00252973090700597,0,0
"SEQC_NB080",0.0543408982054622,0,0.00370134243873057,0.0269369605836355,0,0.06998219215728,0,0,0.172495860755177,0,0.0492394646147353,0,0,0.246656504323434,0.055715987520707,0.290607802351464,0,0,0,0,0,0.0303229870493745
"SEQC_NB081",0,0.00775173657520956,0,0,0,0.417532184429697,0,0.107462766980463,0.0829460194763133,0,0.0666477732658595,0,0.0644611397090345,0.0318542713665933,0,0.175766607772087,0,0,0,0.0331348522534323,0.0124426481713109,0
"SEQC_NB082",0.0172148768763861,0,0,0.134111381795032,0,0.114006159429397,0,0.154457302013633,0.0813049977842459,0,0.00131449075577066,0.0161803946562014,0.0455304314368113,0.241955169499855,0.0452203648517677,0.141764044977972,0,0,0,0.0069403859229277,0,0
"SEQC_NB083",0.0464619654261571,0,0,0.172510170869936,0,0,0,0.145963430256202,0.147696531281411,0,0,0.0448207303063629,0.0250133771600345,0.207332029942701,0.0158044196792911,0.194397345077904,0,0,0,0,0,0
